Unique_member_identifier,City,StateProv,FSA,PointsTotal,LanguagePreference,gender,age_class
3EC07935-F94A-4069-B03C-FCB7909D2226,Bradford,ON,L3Z,5284,English,Female,14-17
E7ADE72A-7B37-4CE4-8C6B-CBD91C563E59,Priddis,AB,T0L,1617,English,Male,14-17
DC64E547-CC11-45A2-A1B7-2F47674DA8DB,Surrey,BC,V4N,1158,English,Female,35-44
E186B0AF-3ACC-436E-A5B0-6B999EED8E19,Edmonton,AB,T6L,639,English,Female,18-24
610D46DC-934A-4BBA-8975-C67282AC6DE0,Vancouver,BC,V5N,0,English,Male,18-24
EEDECC0E-366E-4129-AEAF-3F07979BCED6,Toronto,ON,M4y,750,English,Female,25-34
09D76A21-5EEB-46F8-9531-B16DA17B8043,Arnprior,ON,K7S,1355,English,Female,35-44
5D78F52D-DA90-4FC2-B723-C786A823720E,Vaughan,ON,L4L,950,English,Female,35-44
7D6F1084-62B0-4921-B1E3-041B89F32F22,Markham,ON,L6C,836,English,Female,14-17
06A91D7A-3360-4640-995E-32DBFBB6115E,Vancouver,BC,V5H,390,English,Female,18-24
C8E1B62C-B529-4989-8635-5E26DDF10659,Edmonton,AB,T6W,0,English,Male,18-24
6411D186-C3BB-49A8-8256-BD5943DD9F4D,Toronto,ON,M2R,1587,English,Male,35-44
040BE2D2-B14E-435B-8ECB-BD7B33F0B26D,Moncton,NB,e1c,392,English,Male,55+
5874CEA4-DF6B-4563-92AB-036CDA96FF7A,Swiss Current,SK,S9H,6241,English,Male,25-34
C1A86BBA-A975-41F1-A571-F911C9E78471,Kitchener,ON,N2E,1516,English,Female,18-24
C9D3369F-5FF0-4CD2-9745-7BE056E4A7C0,Keswick,ON,L4P,265,English,Male,18-24
A9AD11E0-EDC6-4118-9ECD-6D20524CFF5F,Winnipeg,MB,R2m,400,English,Male,25-34
7B75CD2D-9FBF-40F5-BFDC-DB8BCA5359B9,Kamloops,BC,V2e,1850,English,Female,35-44
E79D1766-A2E9-46A7-9F13-654A3E658A53,Airdrie,AB,T4B,0,English,Male,25-34
3CA80EFA-54FB-4486-BBAF-182908745B44,Markham,ON,L3P,312,English,Male,25-34
A5BA977E-1F24-41C5-9783-B8D734230560,Riverview,NB,E1B,0,English,Female,25-34
6B9C2803-CEBA-4617-AEE4-7F74A41B8AEE,Toronto,ON,M3B,636,English,Male,25-34
6D482C47-64B6-442A-8E82-325996E879C0,Toronto,ON,m6e,950,English,Female,18-24
699744CE-C4C9-4C8A-82F1-A81C76B08344,Ottawa,ON,K1K,1508,English,Prefer not to answer,18-24
EB65FBB8-5CB1-4529-BD9E-8E141DF3EF2C,Coquitlam,BC,V3E,0,English,Male,18-24
FA5232F0-F9BD-4871-B5A6-D6003D208B83,Ottawa,ON,K2G,447,English,Male,18-24
96EF1969-FD9D-4E59-BB89-6A29092BA096,Waterloo,ON,N2L,584,English,Female,18-24
41B6EC30-8F65-44D9-91B0-89DA18C070A3,Hamilton,ON,L8K,949,English,Male,18-24
88CB3B63-E408-4A7A-8CB6-2C67F901461E,Calgary,AB,T2X,757,English,Male,45-54
7848AEB7-7501-44E1-9684-7FA1BAF0DA76,Winfield,BC,V4V,820,English,Male,35-44
